Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6012.030629,7222.694891,8812.503609,10218.96203,10896.27557,11848.68117,12414.40968,13041.86453,14262.99637,14572.28327,14590.02887,15480.91172,16674.16091,16789.73399,18299.4365,17979.88819,17619.87186,19081.50108,20422.22429,16794.38682,21180.05948,20093.67245,24097.94671,21733.07462,20212.24394,20565.93526,21395.33463,21530.67793,22415.99325,23278.82273,23167.71231,23716.23787,24187.06646,26027.01712,20584.79126,24724.86657,,,
Africa Eastern and Southern,AFE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,558.7150202,506.7975223,535.2566044,482.1968086,381.3133362,408.9241575,492.5017379,519.5968702,529.273238,570.6455993,595.9329854,576.0802597,558.1875142,550.9251845,608.6119821,599.4232439,616.2560147,565.0660755,547.9930874,571.5485079,494.6506572,489.417348,645.6719361,786.3491888,878.766042,937.455585,1000.661281,979.3218443,1068.49685,1220.233998,1323.053048,1326.057821,1310.155272,1326.712853,1222.007579,1154.554761,1298.116409,1241.674597,1212.689013,1098.092611,1214.873282,,,
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,147.7091692,150.7729626,128.2964889,135.1514125,163.3700303,173.5770681,183.1253164,207.4270499,227.6383106,253.8805717,257.8226321,272.9789921,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.4111835,505.2301926,566.6681005,605.7520037,597.356158,575.9168154,548.9684545,484.8905897,497.4060287,466.5706016,468.4035058,475.7180842,340.5232436,,,
Africa Western and Central,AFW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,195.8317563,138.5799898,162.2968279,193.7833815,241.0715814,290.1882329,348.3614055,346.8296215,379.7111527,389.932726,512.2947712,1100.949265,967.515142,681.4242054,539.1701322,526.8190935,487.1789026,472.4637501,465.7207781,388.3253936,439.7090682,433.8231654,419.6120311,331.6589833,284.1519847,348.8368597,376.6183518,374.0587539,387.5744004,405.7962373,358.3556564,389.3091727,466.7551954,518.0335015,614.5808609,714.1569143,951.8969526,1072.393054,1255.710567,1138.739925,1250.203273,1344.995067,1451.219388,1642.527119,1797.193227,1553.654158,1366.270211,1286.956899,1382.675005,1412.167673,1374.44486,1393.442318,,,
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,555.9114938,570.5396472,494.1499306,467.0027254,676.7862379,572.3317583,696.5527203,76.48380711,90.24376393,15.73257865,183.8594834,211.6031686,269.4488697,256.4460556,166.3965805,201.4089879,254.3159217,553.3066851,659.9269231,779.4727561,1019.352642,1377.047505,1478.406325,1516.98612,1870.287448,1874.74828,2463.654719,2865.333338,3185.33364,3486.7531,2371.995619,1206.043537,1500.335741,1506.725371,1327.803449,1100.217496,1231.925133,,,
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,511.604864,511.1375156,571.5454314,550.3898885,520.8048564,560.4326684,491.2078281,250.8831676,136.0545678,316.1284321,508.9523164,669.0436495,914.5730379,643.2158946,749.0727864,949.0971593,1038.956686,1186.743383,1308.216552,1699.392489,2171.04442,2437.80155,2742.933611,3229.977202,3830.340927,3517.609153,3509.842739,3753.965485,3522.372857,3757.696946,3844.277141,3277.788243,3467.34757,3729.968219,4340.919854,4361.999293,4322.549675,5262.913596,,,
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,1406.247444,1531.780033,1538.224811,1427.554092,1387.068879,1338.189107,1311.878731,1322.279041,1302.078611,1303.713275,1711.767712,1647.266515,1773.456952,1731.243354,1712.378309,1850.813576,1953.159003,2080.184185,2017.244949,2151.657508,2318.137071,2256.192918,2236.35783,2368.115421,2715.232281,3163.274303,3699.555752,4258.673189,5128.379928,4575.864692,5202.451087,5351.763026,5788.839786,5816.731123,5871.906568,5219.88246,5132.950125,5138.894119,5327.295739,5301.294209,4727.762086,,,,
United Arab Emirates,ARE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27273.95916,25741.30835,24733.51634,26025.96668,29367.58922,32829.55682,37719.5311,39986.85417,42200.7742,32273.1224,37615.07529,43434.61702,45968.15224,46197.41041,46014.76242,39877.41804,38136.52009,38984.69671,41349.34596,40195.69186,33903.43422,,,,
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1198.502983,1305.18069,1299.397751,1971.966443,2648.516696,1893.952704,1785.785794,1944.397992,1945.741877,2223.865942,2404.413032,2391.517873,2470.894556,3019.564714,2260.957682,2484.67288,3168.211815,3099.956383,3479.594945,1921.610283,3682.870087,5022.478448,6055.313416,6175.975671,6561.210053,6373.774484,6673.011206,7048.462521,7085.449926,6523.528907,6406.185254,5979.263761,1987.686879,2692.266409,3194.708234,3797.818405,4876.985775,6089.635145,7545.533787,6808.995877,8565.366297,10604.58155,10774.09297,10811.86987,10181.06897,11668.43637,10789.07524,12508.82601,9844.101641,8237.698119,7241.030302,9092.085608,,,
